index,RegionName,RegionType,CountyName,StateName,StateCodeFIPS,county_fips,State,1/1/17,1/1/18,1/1/19,1/1/20,1/1/21,1/1/22
"Gross Domestic Product: All Industries in Philadelphia County, PA","Philadelphia County, PA",county,Philadelphia,PA,42,42101,PA,108863224,110895144,112625135,107609051,114416856,123064986
"Gross Domestic Product: All Industries in Orange County, CA","Orange County, CA",county,Orange,CA,6,6059,CA,244438165,256068837,269080278,268778347,294339604,314177082
"Gross Domestic Product: All Industries in New York County, NY","New York County, NY",county,New York,NY,36,36000,NY,708516749,749124139,781725866,770001330,844809734,885651810
"Gross Domestic Product: All Industries in New York County, NY","New York County, NY",county,New York,NY,36,36061,NY,708516749,749124139,781725866,770001330,844809734,885651810
"Gross Domestic Product: All Industries in San Francisco County, CA","San Francisco County, CA",county,San Francisco,CA,6,6075,CA,172992477,189220774,207371562,217050026,251781937,252186339
"Gross Domestic Product: All Industries in San Diego County, CA","San Diego County, CA",county,San Diego,CA,6,6073,CA,224767520,234685540,245468318,246738140,272825696,295644871
"Gross Domestic Product: All Industries in Miami-Dade County, FL","Miami-Dade County, FL",county,Dade,FL,12,12025,FL,159539066,170148256,175590230,166830874,193948745,219476269
"Gross Domestic Product: All Industries in Fairfax, Fairfax City + Falls Church County, VA","Fairfax, Fairfax City + Falls Church County, VA",county,Fairfax,VA,51,51059,VA,114188029,120738631,129015685,130155397,141142785,151888956
"Gross Domestic Product: All Industries in Los Angeles County, CA","Los Angeles County, CA",county,Los Angeles,CA,6,6037,CA,720841757,755372387,795139880,766347705,841764959,913292121
"Gross Domestic Product: All Industries in Santa Clara County, CA","Santa Clara County, CA",county,Santa Clara,CA,6,6085,CA,280510581,301321537,320102518,344201399,392899696,400777502
"Gross Domestic Product: All Industries in Maricopa County, AZ","Maricopa County, AZ",county,Maricopa,AZ,4,4013,AZ,237581202,253570040,271910024,280445536,315696835,350168218
"Gross Domestic Product: All Industries in Montgomery County, MD","Montgomery County, MD",county,Montgomery,MD,24,24031,MD,93542842,95122803,95157048,94007911,100597916,106777850
"Gross Domestic Product: All Industries in Loudoun County, VA","Loudoun County, VA",county,Loudoun,VA,51,51107,VA,26813789,28526449,30410096,29892427,33614262,37558714
"Gross Domestic Product: All Industries in Maui + Kalawao County, HI","Maui + Kalawao County, HI",county,Maui,HI,15,15009,HI,9606468,10424586,10962712,9057393,10477537,11649377
"Gross Domestic Product: All Industries in Dallas County, TX","Dallas County, TX",county,Dallas,TX,48,48113,TX,248044414,263230069,279796316,276904518,307955884,345175101
"Gross Domestic Product: All Industries in Alameda County, CA","Alameda County, CA",county,Alameda,CA,6,6001,CA,130430017,137388106,144166936,143611572,156842758,168506397
"Gross Domestic Product: All Industries in Suffolk County, NY","Suffolk County, NY",county,Suffolk,NY,36,36103,NY,98952851,101321192,105965471,106655037,114800577,125184540
"Gross Domestic Product: All Industries in Queens County, NY","Queens County, NY",county,Queens,NY,36,36081,NY,98123455,107910333,111530006,102647838,109684258,122288187
"Gross Domestic Product: All Industries in Bronx County, NY","Bronx County, NY",county,Bronx,NY,36,36005,NY,39476535,43902337,46937853,46254098,48446075,51573982
"Gross Domestic Product: All Industries in Cook County, IL","Cook County, IL",county,Cook,IL,17,17031,IL,397830564,416928913,431976963,411314700,448825047,485546712
"Gross Domestic Product: All Industries in Bexar County, TX","Bexar County, TX",county,Bexar,TX,48,48029,TX,100193129,107052245,110734934,111573122,120426419,133284271
"Gross Domestic Product: All Industries in Clark County, NV","Clark County, NV",county,Clark,NV,32,32003,NV,116332382,125512670,134303884,124127270,141958382,160727901
"Gross Domestic Product: All Industries in Fort Bend County, TX","Fort Bend County, TX",county,Fort Bend,TX,48,48157,TX,27576129,30225470,32186420,32182239,35655630,40222539
"Gross Domestic Product: All Industries in Fairfield County, CT","Fairfield County, CT",county,Fairfield,CT,9,9001,CT,91838477,93080042,92852013,89690875,97146258,104368153
"Gross Domestic Product: All Industries in Riverside County, CA","Riverside County, CA",county,Riverside,CA,6,6065,CA,84070198,89364658,95064950,95796528,106367609,115363850
"Gross Domestic Product: All Industries in Westchester County, NY","Westchester County, NY",county,Westchester,NY,36,36119,NY,81820011,85359845,90339448,92229975,95402845,103162225
"Gross Domestic Product: All Industries in Orange County, FL","Orange County, FL",county,Orange,FL,12,12095,FL,95077001,100260013,105964492,101030715,118287548,134442304
"Gross Domestic Product: All Industries in Hawaii County, HI","Hawaii County, HI",county,Hawaii,HI,15,15000,HI,8324824,8744269,9138076,8017028,9344964,10253256
"Gross Domestic Product: All Industries in Hawaii County, HI","Hawaii County, HI",county,Hawaii,HI,15,15001,HI,8324824,8744269,9138076,8017028,9344964,10253256
"Gross Domestic Product: All Industries in Travis County, TX","Travis County, TX",county,Travis,TX,48,48453,TX,109993936,117874107,127165932,131673293,151120078,170905668
"Gross Domestic Product: All Industries in Kern County, CA","Kern County, CA",county,Kern,CA,6,6029,CA,43812095,45646364,46707513,45582252,52042876,57540870
"Gross Domestic Product: All Industries in Arlington County, VA","Arlington County, VA",county,Arlington,VA,51,51013,VA,33997126,36068981,37946861,38057893,41011506,42695708
"Gross Domestic Product: All Industries in Broward County, FL","Broward County, FL",county,Broward,FL,12,12011,FL,104703408,109860494,116227368,116750092,131995767,146735076
