Attribute,RegionName,RegionType,CountyName,StateName,State,StateCodeFIPS,county_fips,1/1/17,1/1/18,1/1/19,1/1/20,1/1/21,1/1/22
"Homeownership Rate (5-year estimate) for Los Angeles County, CA",Los Angeles County,county,Los Angeles,CA,CA,6,6037,48.61363588,48.62900042,48.71910805,49.17264642,49.50111938,49.69779158
"Homeownership Rate (5-year estimate) for San Francisco County/city, CA",San Francisco County/city,county,San Francisco,CA,CA,6,6075,43.38584403,43.74173105,43.61486273,43.81516823,43.87122679,44.44045733
"Homeownership Rate (5-year estimate) for Dallas County, TX",Dallas County,county,Dallas,TX,TX,48,48113,54.02958031,53.76680495,53.77698749,54.39847607,54.83429001,55.12213494
"Homeownership Rate (5-year estimate) for King County, WA",King County,county,King,WA,WA,53,53033,61.42371335,61.41135401,61.37363714,61.1819275,61.45399006,61.51727778
"Homeownership Rate (5-year estimate) for San Diego County, CA",San Diego County,county,San Diego,CA,CA,6,6073,53.34626166,53.68132391,54.2411898,55.29174698,55.68841002,56.12585018
"Homeownership Rate (5-year estimate) for Miami-Dade County, FL",Miami-Dade County,county,Dade,FL,FL,12,12025,55.45564708,54.87115988,54.1814838,54.6491605,54.94234811,54.8826627
"Homeownership Rate (5-year estimate) for Cook County, IL",Cook County,county,Cook,IL,IL,17,17031,60.14274792,60.33111867,60.7279429,61.29472273,61.80036788,62.30693234
"Homeownership Rate (5-year estimate) for Maricopa County, AZ",Maricopa County,county,Maricopa,AZ,AZ,4,4013,61.08297156,61.72945548,62.89639684,64.33609685,65.56698358,66.29037964
"Homeownership Rate (5-year estimate) for Orange County, CA",Orange County,county,Orange,CA,CA,6,6059,56.69709132,56.80217842,56.83454665,56.9813218,57.03524821,56.87775354
"Homeownership Rate (5-year estimate) for New York County, NY",New York County,county,New York,NY,NY,36,36000,22.99376675,23.28158828,23.44801602,23.9850768,24.44621154,24.60605369
"Homeownership Rate (5-year estimate) for New York County, NY",New York County,county,New York,NY,NY,36,36061,22.99376675,23.28158828,23.44801602,23.9850768,24.44621154,24.60605369
"Homeownership Rate (5-year estimate) for Philadelphia County/city, PA",Philadelphia County/city,county,Philadelphia,PA,PA,42,42101,55.37882989,55.58990282,55.66711567,55.77978219,55.68109767,55.57546415
"Homeownership Rate (5-year estimate) for Travis County, TX",Travis County,county,Travis,TX,TX,48,48453,56.46705595,56.61058375,56.86348755,57.98761029,59.07821488,58.63286684
"Homeownership Rate (5-year estimate) for Ware County, GA",Ware County,county,Ware,GA,GA,13,13299,62.86951553,63.71595918,63.2642581,65.30360102,64.20422556,63.42335897
"Homeownership Rate (5-year estimate) for Denver County, CO",Denver County,county,Denver,CO,CO,8,8031,52.95028131,52.86751029,53.74942292,54.05152312,54.32212374,54.65149548
"Homeownership Rate (5-year estimate) for El Paso County, TX",El Paso County,county,El Paso,TX,TX,48,48141,64.67293893,64.69738725,64.35176053,65.254093,66.10332021,66.04546609
"Homeownership Rate (5-year estimate) for Alameda County, CA",Alameda County,county,Alameda,CA,CA,6,6001,55.38313071,55.51652836,55.9187358,56.35697482,56.73532432,57.21220097
