index,RegionName,RegionType,CountyName,StateName,StateCodeFIPS,county_fips,State,1/1/17,1/1/18,1/1/19,1/1/20,1/1/21,1/1/22
Mean Commuting Time for Workers (5-year estimate) in Los Angeles County,Los Angeles County,county,Los Angeles,CA,6,6037,CA,30.87716265,31.2990319,31.84420446,31.7474601,31.37392665,30.99934574
Mean Commuting Time for Workers (5-year estimate) in New York County,New York County,county,New York,NY,36,36000,NY,31.80718778,32.06099804,32.21271117,32.10112072,32.05028853,31.84149776
Mean Commuting Time for Workers (5-year estimate) in New York County,New York County,county,New York,NY,36,36061,NY,31.80718778,32.06099804,32.21271117,32.10112072,32.05028853,31.84149776
Mean Commuting Time for Workers (5-year estimate) in Dallas County,Dallas County,county,Dallas,TX,48,48113,TX,27.24628749,27.41377437,27.66697106,27.62392191,27.56590713,27.26778934
Mean Commuting Time for Workers (5-year estimate) in Miami-Dade County,Dade County,county,Dade,FL,12,12025,FL,31.26626995,32.20606564,32.75083099,32.50450226,31.98640586,31.61950179
Mean Commuting Time for Workers (5-year estimate) in San Juan County,San Juan County,county,San Juan,WA,53,53055,WA,14.9447472,15.71070234,16.33328309,16.45833333,16.06156457,16.44261791
Mean Commuting Time for Workers (5-year estimate) in San Jacinto County,San Jacinto County,county,San Jacinto,TX,48,48407,TX,41.26433812,39.84877028,42.88032245,40.49970403,40.18712493,38.21304614
Mean Commuting Time for Workers (5-year estimate) in San Francisco County,San Francisco County,county,San Francisco,CA,6,6075,CA,32.84695942,33.28651697,33.84362106,33.2775217,32.76373113,31.81570288
Mean Commuting Time for Workers (5-year estimate) in Iowa County,Iowa County,county,Iowa,WI,55,55049,WI,26.15082482,26.39191086,26.20365535,25.37553931,24.94717216,25.86745161
Mean Commuting Time for Workers (5-year estimate) in Orange County,Orange County,county,Orange,CA,6,6059,CA,27.44152763,27.74958106,28.04333896,28.0111251,27.63699929,27.29367022
Mean Commuting Time for Workers (5-year estimate) in Hillsborough County,Hillsborough County,county,Hillsborough,NH,33,33011,NH,27.91048283,28.23074831,28.34425569,27.95220146,27.68655242,27.38215728
Mean Commuting Time for Workers (5-year estimate) in Queens County,Queens County,county,Queens,NY,36,36081,NY,43.5460253,44.10537042,44.43236783,44.16955807,43.75790512,43.55631059
Mean Commuting Time for Workers (5-year estimate) in Denver County,Denver County,county,Denver,CO,8,8031,CO,25.32403085,25.4358565,25.90805763,25.65726484,25.51793575,25.25026649
Mean Commuting Time for Workers (5-year estimate) in Fulton County,Fulton County,county,Fulton,GA,13,13121,GA,28.13301686,28.51528591,28.83518279,28.85345522,28.90477861,28.50394631
Mean Commuting Time for Workers (5-year estimate) in Dane County,Dane County,county,Dane,WI,55,55025,WI,20.98260066,20.98034272,21.13140291,21.2714665,21.09700722,20.8628999
Mean Commuting Time for Workers (5-year estimate) in Polk County,Polk County,county,Polk,GA,13,13233,GA,26.23076002,27.48722617,27.91550845,29.18060012,30.33671211,30.18245182
Mean Commuting Time for Workers (5-year estimate) in Ohio County,Ohio County,county,Ohio,IN,18,18115,IN,31.29965753,30.23916811,29.11016949,30.13367052,31.36597938,33.32372165
Mean Commuting Time for Workers (5-year estimate) in Lake County,Lake County,county,Lake,MI,26,26085,MI,27.34566015,28.61995754,27.00167504,27.5455298,30.60005826,31.33153639
Mean Commuting Time for Workers (5-year estimate) in Smith County,Smith County,county,Smith,TX,48,48423,TX,23.78848111,23.76110468,24.35448246,23.64253697,23.80315127,23.24929062
Mean Commuting Time for Workers (5-year estimate) in Terry County,Terry County,county,Terry,TX,48,48445,TX,20.05829904,18.97963801,18.46237495,20.41849301,19.47019868,18.54624155
Mean Commuting Time for Workers (5-year estimate) in Dodge County,Dodge County,county,Dodge,WI,55,55027,WI,23.12834545,23.26672829,23.4561297,23.82908888,23.48557092,23.4823117
Mean Commuting Time for Workers (5-year estimate) in Apache County,Apache County,county,Apache,AZ,4,4001,AZ,26.72427058,26.31350937,26.88325797,27.3008798,27.60271857,28.06850734
Mean Commuting Time for Workers (5-year estimate) in Madera County,Madera County,county,Madera,CA,6,6039,CA,25.62452407,27.08614541,28.34240054,28.49640382,29.34809838,29.49071126
Mean Commuting Time for Workers (5-year estimate) in Dallas County,Dallas County,county,Dallas,IA,19,19049,IA,21.10579345,21.43116985,21.0079417,21.22237727,21.16165621,21.17492705
Mean Commuting Time for Workers (5-year estimate) in Oregon County,Oregon County,county,Oregon,MO,29,29149,MO,20.93149646,22.73445596,21.2629006,19.86063709,20.88806497,22.53586801
Mean Commuting Time for Workers (5-year estimate) in Lenoir County,Lenoir County,county,Lenoir,NC,37,37107,NC,22.15293454,22.01089615,23.38910806,23.50017624,23.44389654,23.61435455
Mean Commuting Time for Workers (5-year estimate) in Onslow County,Onslow County,county,Onslow,NC,37,37133,NC,21.37938473,21.19190771,20.5943451,20.79939016,21.61046867,21.97891551
Mean Commuting Time for Workers (5-year estimate) in Orange County,Orange County,county,Orange,NC,37,37135,NC,22.24323408,22.9201839,23.4604356,23.91011328,23.99002494,23.78719542
Mean Commuting Time for Workers (5-year estimate) in Burnet County,Burnet County,county,Burnet,TX,48,48053,TX,26.24348742,24.892968,26.48369909,26.64892242,26.89518856,27.36152251
Mean Commuting Time for Workers (5-year estimate) in Denton County,Denton County,county,Denton,TX,48,48121,TX,28.88586587,28.98183121,29.03047938,28.58935155,28.27971193,28.25242887
Mean Commuting Time for Workers (5-year estimate) in Upshur County,Upshur County,county,Upshur,TX,48,48459,TX,27.84190635,27.83682351,27.97241036,28.16223067,29.01984,29.46680404
Mean Commuting Time for Workers (5-year estimate) in Jackson County,Jackson County,county,Jackson,AR,5,5067,AR,19.11016162,18.94636381,19.57216201,19.94229337,19.11597296,20.74188974
Mean Commuting Time for Workers (5-year estimate) in Gooding County,Gooding County,county,Gooding,ID,16,16047,ID,20.76917021,21.91093916,22.17944713,21.77391166,22.20268542,21.89616613
Mean Commuting Time for Workers (5-year estimate) in Ballard County,Ballard County,county,Ballard,KY,21,21007,KY,23.62790698,24.01067839,23.05808477,22.10878798,21.96600385,25.022187
Mean Commuting Time for Workers (5-year estimate) in Charles County,Charles County,county,Charles,MD,24,24017,MD,43.86979645,44.39415906,45.04525523,45.40548792,44.55295434,44.23882188
Mean Commuting Time for Workers (5-year estimate) in Addison County,Addison County,county,Addison,VT,50,50001,VT,23.80789022,24.55781348,24.97363348,24.84573764,25.62225218,25.55646234
Mean Commuting Time for Workers (5-year estimate) in Lincoln County,Lincoln County,county,Lincoln,WI,55,55069,WI,22.7164661,22.28160749,22.63233298,23.13940461,22.75121753,22.17635708
Mean Commuting Time for Workers (5-year estimate) in Allegany County,Allegany County,county,Allegany,MD,24,24001,MD,20.89082748,21.34358047,21.83541514,22.38911875,23.04141222,22.5910007
Mean Commuting Time for Workers (5-year estimate) in Hertford County,Hertford County,county,Hertford,NC,37,37091,NC,24.21767943,26.07170868,26.63023281,28.8723206,28.53632612,28.32227954
Mean Commuting Time for Workers (5-year estimate) in Chambers County,Chambers County,county,Chambers,TX,48,48071,TX,27.80574429,28.20630406,28.95492469,28.71620922,30.93415742,30.36571895
Mean Commuting Time for Workers (5-year estimate) in Cherokee County,Cherokee County,county,Cherokee,TX,48,48073,TX,24.43416316,24.74730354,25.13170858,24.20526073,25.60984767,26.877643
Mean Commuting Time for Workers (5-year estimate) in Sterling County,Sterling County,county,Sterling,TX,48,48431,TX,21,15.94594595,17.10569106,20.52951389,20.47153025,24.93230174
Mean Commuting Time for Workers (5-year estimate) in Stafford County,Stafford County,county,Stafford,VA,51,51179,VA,40.86876542,40.8514876,40.50248289,39.67887523,39.22904058,37.88357495
Mean Commuting Time for Workers (5-year estimate) in Del Norte County,Del Norte County,county,Del Norte,CA,6,6015,CA,14.36356609,14.55200696,14.47480231,15.56624189,16.80194037,17.1548351
Mean Commuting Time for Workers (5-year estimate) in Alexander County,Alexander County,county,Alexander,NC,37,37003,NC,25.55270418,24.14350797,24.54441985,24.28512318,24.35114002,25.66267426
Mean Commuting Time for Workers (5-year estimate) in Humphreys County,Humphreys County,county,Humphreys,TN,47,47085,TN,27.50322581,29.54254545,33.58695652,34.19288079,34.60363392,35.26909722
Mean Commuting Time for Workers (5-year estimate) in Galveston County,Galveston County,county,Galveston,TX,48,48167,TX,28.02139531,27.69251244,27.96700065,27.52604469,27.4647342,27.35863994
Mean Commuting Time for Workers (5-year estimate) in Meriwether County,Meriwether County,county,Meriwether,GA,13,13199,GA,32.98357079,34.48693189,35.87258687,35.54834685,35.04832474,34.15864742
Mean Commuting Time for Workers (5-year estimate) in Rensselaer County,Rensselaer County,county,Rensselaer,NY,36,36083,NY,24.41150116,24.25410641,24.76580323,24.28189159,23.45735343,23.75499751
Mean Commuting Time for Workers (5-year estimate) in Huntingdon County,Huntingdon County,county,Huntingdon,PA,42,42061,PA,29.46579356,29.35738832,31.05315577,31.91915409,30.31750724,30.48440259
Mean Commuting Time for Workers (5-year estimate) in Rockingham County,Rockingham County,county,Rockingham,VA,51,51165,VA,21.71037312,22.30636999,21.91855732,21.9567495,21.88792632,21.67838883
Mean Commuting Time for Workers (5-year estimate) in King County,King County,county,King,WA,53,53033,WA,29.14261202,29.64805767,29.90544881,29.75383514,29.40121829,28.85448963
Mean Commuting Time for Workers (5-year estimate) in Portage County,Portage County,county,Portage,WI,55,55097,WI,18.82105713,19.00779579,19.15757047,19.18627365,19.14208109,19.57551932
Mean Commuting Time for Workers (5-year estimate) in Orange County,Orange County,county,Orange,FL,12,12095,FL,27.5694095,27.84562048,28.19526322,28.75057845,28.67350956,28.38791832
Mean Commuting Time for Workers (5-year estimate) in San Diego County,San Diego County,county,San Diego,CA,6,6073,CA,25.71121502,26.01683177,26.46563237,26.45746119,26.29548271,26.10975851
Mean Commuting Time for Workers (5-year estimate) in Escambia County,Escambia County,county,Escambia,FL,12,12033,FL,21.87135232,22.12164677,22.59694271,23.23318815,23.0913255,23.34763495
Mean Commuting Time for Workers (5-year estimate) in Citrus County,Citrus County,county,Citrus,FL,12,12017,FL,25.30705244,25.52698496,26.35550653,27.45396056,27.72001756,27.89731108
Mean Commuting Time for Workers (5-year estimate) in Campbell County,Campbell County,county,Campbell,SD,46,46021,SD,17.14392804,18.21314103,17.99011532,14.73993289,16.7201426,16.92857143
Mean Commuting Time for Workers (5-year estimate) in Greene County,Greene County,county,Greene,MS,28,28041,MS,33.94472362,34.68616453,31.13887086,32.94343066,38.38190444,45.11897001
Mean Commuting Time for Workers (5-year estimate) in Harlan County,Harlan County,county,Harlan,KY,21,21095,KY,20.61723281,21.65556343,23.4815373,22.96425735,23.84764114,23.39418724
Mean Commuting Time for Workers (5-year estimate) in Concho County,Concho County,county,Concho,TX,48,48095,TX,22.46632124,23.29396325,23.48161329,30.61073826,31.14857143,28.27894737
Mean Commuting Time for Workers (5-year estimate) in Arlington County,Arlington County,county,Arlington,VA,51,51013,VA,28.62291247,29.03951701,29.15618074,29.13772492,28.36833173,27.66826501
Mean Commuting Time for Workers (5-year estimate) in Itawamba County,Itawamba County,county,Itawamba,MS,28,28057,MS,24.42434211,25.26073959,25.59825465,25.4713243,24.38585797,24.11598373
Mean Commuting Time for Workers (5-year estimate) in Essex County,Essex County,county,Essex,MA,25,25009,MA,29.83260244,30.15132144,30.44238925,30.23100771,29.57128953,29.14395605
Mean Commuting Time for Workers (5-year estimate) in Casey County,Casey County,county,Casey,KY,21,21045,KY,28.91745854,30.07836391,29.7142327,30.18155054,31.45478243,30.33533534
Mean Commuting Time for Workers (5-year estimate) in Jefferson County,Jefferson County,county,Jefferson,WA,53,53031,WA,23.52912044,22.93492952,24.49848322,23.87775652,23.89923975,24.31289527
Mean Commuting Time for Workers (5-year estimate) in Broward County,Broward County,county,Broward,FL,12,12011,FL,28.2190647,28.41264367,28.78370785,28.916643,28.778031,28.873194
Mean Commuting Time for Workers (5-year estimate) in Waushara County,Waushara County,county,Waushara,WI,55,55137,WI,26.38123258,26.39952888,27.00849515,27.19273461,27.23074624,27.76243094
Mean Commuting Time for Workers (5-year estimate) in Hendry County,Hendry County,county,Hendry,FL,12,12051,FL,29.44059826,28.10271539,28.3743932,28.24690647,30.4344441,30.20115621
Mean Commuting Time for Workers (5-year estimate) in Randolph County,Randolph County,county,Randolph,WV,54,54083,WV,21.39256806,22.52610182,23.10101946,23.7827917,22.08567981,21.53834556
Mean Commuting Time for Workers (5-year estimate) in Beaufort County,Beaufort County,county,Beaufort,SC,45,45013,SC,22.4259678,22.75299164,22.74952427,22.79724199,22.79599025,22.84331149
Mean Commuting Time for Workers (5-year estimate) in Lafayette County,Lafayette County,county,Lafayette,MS,28,28071,MS,18.6620476,18.85747097,19.53996126,22.71921388,22.79614269,21.6808775
Mean Commuting Time for Workers (5-year estimate) in Middlesex County,Middlesex County,county,Middlesex,MA,25,25017,MA,30.26839119,30.94088757,31.3508653,31.14852501,30.74354025,30.49250828
Mean Commuting Time for Workers (5-year estimate) in Wilson County,Wilson County,county,Wilson,TN,47,47189,TN,30.0383599,30.8597927,30.83337299,30.42592824,30.63134178,30.60748903
Mean Commuting Time for Workers (5-year estimate) in Steuben County,Steuben County,county,Steuben,NY,36,36101,NY,21.71180403,21.75899732,21.9089585,21.9869157,22.00520634,22.09992183
Mean Commuting Time for Workers (5-year estimate) in Republic County,Republic County,county,Republic,KS,20,20157,KS,17.59549011,17.89461358,23.07766059,23.11348206,21.79729076,21.71229587
Mean Commuting Time for Workers (5-year estimate) in Vernon County,Vernon County,county,Vernon,WI,55,55123,WI,24.5230544,24.93891586,25.31634446,24.87308429,24.73573281,24.89376425
Mean Commuting Time for Workers (5-year estimate) in Marion County,Marion County,county,Marion,KY,21,21155,KY,20.44767845,19.62235865,19.17614035,19.40328919,20.38666293,19.63677319
