Attribute,RegionName,RegionType,CountyName,StateName,State,StateCodeFIPS,county_fips,1/1/17,1/1/18,1/1/19,1/1/20,1/1/21,1/1/22
"Estimate of Median Household Income for Los Angeles County, CA",Los Angeles County,county,Los Angeles,CA,CA,6,6037,64912,67986,72721,75624,77356,82455
"Estimate of Median Household Income for San Diego County, CA",San Diego County,county,San Diego,CA,CA,6,6073,76048,78777,83576,87126,90756,98365
"Estimate of Median Household Income for San Francisco County/City, CA",San Francisco County/City,county,San Francisco,CA,CA,6,6075,109601,110601,121795,121722,119776,135366
"Estimate of Median Household Income for Orange County, CA",Orange County,county,Orange,CA,CA,6,6059,86031,89373,95761,98786,100210,106047
"Estimate of Median Household Income for Miami-Dade County, FL",Miami-Dade County,county,Dade,FL,FL,12,12025,49758,52043,54991,59259,58905,66952
"Estimate of Median Household Income for Dallas County, TX",Dallas County,county,Dallas,TX,TX,48,48113,56732,59838,61807,65770,63549,70871
"Estimate of Median Household Income for Denver County, CO",Denver County,county,Denver,CO,CO,8,8031,64974,68069,75456,75355,81262,87619
"Estimate of Median Household Income for King County, WA",King County,county,King,WA,WA,53,53033,89519,94822,102338,102620,110351,116044
"Estimate of Median Household Income for Fairfax County, VA",Fairfax County,county,Fairfax,VA,VA,51,51059,117989,122035,127898,132509,133845,144632
"Estimate of Median Household Income for Santa Clara County, CA",Santa Clara County,county,Santa Clara,CA,CA,6,6085,118468,125933,132444,139462,141161,150502
"Estimate of Median Household Income for Dane County, WI",Dane County,county,Dane,WI,WI,55,55025,72385,71789,77828,74829,77653,85189
"Estimate of Median Household Income for Hillsborough County, FL",Hillsborough County,county,Hillsborough,FL,FL,12,12057,54741,58361,61133,65272,65818,74091
"Estimate of Median Household Income for Sacramento County, CA",Sacramento County,county,Sacramento,CA,CA,6,6067,62959,69475,71891,72953,79611,83985
"Estimate of Median Household Income for Harris County, TX",Harris County,county,Harris,TX,TX,48,48201,58664,60241,61638,61906,63539,68748
"Estimate of Median Household Income for Cook County, IL",Cook County,county,Cook,IL,IL,17,17031,61401,63347,69375,71611,72063,76614
"Estimate of Median Household Income for Maricopa County, AZ",Maricopa County,county,Maricopa,AZ,AZ,4,4013,62221,65234,68634,71799,76230,83668
"Estimate of Median Household Income for Davidson County, TN",Davidson County,county,Davidson,TN,TN,47,47037,58264,60799,63846,64418,65463,72561
"Estimate of Median Household Income for Montgomery County, MD",Montgomery County,county,Montgomery,MD,MD,24,24031,102944,107758,110012,115394,112352,118020
"Estimate of Median Household Income for Duval County, FL",Duval County,county,Duval,FL,FL,12,12031,52105,55733,58339,55202,60121,70203
"Estimate of Median Household Income for Wake County, NC",Wake County,county,Wake,NC,NC,37,37183,77641,80169,84377,88763,91558,97099
"Estimate of Median Household Income for Mecklenburg County, NC",Mecklenburg County,county,Mecklenburg,NC,NC,37,37119,65750,64509,69455,72340,75138,80645
"Estimate of Median Household Income for Philadelphia County/city, PA",Philadelphia County/city,county,Philadelphia,PA,PA,42,42101,40193,46149,47598,55102,52882,56385
"Estimate of Median Household Income for Arlington County, VA",Arlington County,county,Arlington,VA,VA,51,51013,114705,120950,118986,125004,124474,131020
"Estimate of Median Household Income for Travis County, TX",Travis County,county,Travis,TX,TX,48,48453,72785,76255,80690,82605,84519,95151
"Estimate of Median Household Income for Austin County, TX",Austin County,county,Austin,TX,TX,48,48015,61111,59942,68311,60593,68150,68630
"Estimate of Median Household Income for Clark County, NV",Clark County,county,Clark,NV,NV,32,32003,57217,57155,62131,62496,63735,70838
"Estimate of Median Household Income for Palm Beach County, FL",Palm Beach County,county,Palm Beach,FL,FL,12,12099,60059,61735,66621,68200,70024,76713
"Estimate of Median Household Income for Gwinnett County, GA",Gwinnett County,county,Gwinnett,GA,GA,13,13135,68957,72008,72225,73460,75021,83918
"Estimate of Median Household Income for York County, SC",York County,county,York,SC,SC,45,45091,62620,64904,68468,72579,73466,83692
"Estimate of Median Household Income for Boulder County, CO",Boulder County,county,Boulder,CO,CO,8,8013,80701,83591,88341,88289,90327,96584
"Estimate of Median Household Income for Salt Lake County, UT",Salt Lake County,county,Salt Lake,UT,UT,49,49035,71396,73619,79941,79294,80676,91713
"Estimate of Median Household Income for Franklin County, OH",Franklin County,county,Franklin,OH,OH,39,39049,59214,60383,64648,62643,66056,69762
"Estimate of Median Household Income for Sarasota County, FL",Sarasota County,county,Sarasota,FL,FL,12,12115,58423,61652,66258,66138,71630,78309
"Estimate of Median Household Income for Allegheny County, PA",Allegheny County,county,Allegheny,PA,PA,42,42003,58547,59881,64799,64236,68874,71973
"Estimate of Median Household Income for Greenville County, SC",Greenville County,county,Greenville,SC,SC,45,45045,56311,61162,64399,62475,68487,71833
"Estimate of Median Household Income for Alameda County, CA",Alameda County,county,Alameda,CA,CA,6,6001,95550,101744,107589,113518,108971,121190
"Estimate of Median Household Income for Milwaukee County, WI",Milwaukee County,county,Milwaukee,WI,WI,55,55079,47795,49771,53505,52281,56417,58375
"Estimate of Median Household Income for Snohomish County, WA",Snohomish County,county,Snohomish,WA,WA,53,53061,82405,87096,89119,93589,99650,101440
"Estimate of Median Household Income for Loudoun County, VA",Loudoun County,county,Loudoun,VA,VA,51,51107,136191,140382,151806,155362,153716,167605
"Estimate of Median Household Income for Fresno County, CA",Fresno County,county,Fresno,CA,CA,6,6019,51452,52318,56926,61401,63140,68693
"Estimate of Median Household Income for Charleston County, SC",Charleston County,county,Charleston,SC,SC,45,45019,60144,62958,70980,72451,71755,79969
"Estimate of Median Household Income for St. Louis County, MO",St. Louis County,county,St. Louis,MO,MO,29,29189,64926,66992,70161,68964,72507,79609
"Estimate of Median Household Income for Santa Barbara County, CA",Santa Barbara County,county,Santa Barbara,CA,CA,6,6083,70651,75646,74530,86136,83185,89334
"Estimate of Median Household Income for Bexar County, TX",Bexar County,county,Bexar,TX,TX,48,48029,54163,54210,58956,60477,63014,65839
"Estimate of Median Household Income for Tulsa County, OK",Tulsa County,county,Tulsa,OK,OK,40,40143,52579,55796,57668,58863,59232,63442
"Estimate of Median Household Income for Knox County, TN",Knox County,county,Knox,TN,TN,47,47093,55299,55874,60316,57886,64817,70013
"Estimate of Median Household Income for Spokane County, WA",Spokane County,county,Spokane,WA,WA,53,53063,53438,59408,59976,60827,65571,69079
"Estimate of Median Household Income for Cuyahoga County, OH",Cuyahoga County,county,Cuyahoga,OH,OH,39,39035,46918,50006,52503,55128,55250,60808
"Estimate of Median Household Income for Lancaster County, PA",Lancaster County,county,Lancaster,PA,PA,42,42071,63402,66270,67515,73006,75619,82434
"Estimate of Median Household Income for New York County, NY",New York County,county,New York,NY,NY,36,36000,84133,84610,93007,87745,84371,95514
"Estimate of Median Household Income for New York County, NY",New York County,county,New York,NY,NY,36,36061,84133,84610,93007,87745,84371,95514
"Estimate of Median Household Income for Durham County, NC",Durham County,county,Durham,NC,NC,37,37063,60045,59329,65541,65619,71436,79524
"Estimate of Median Household Income for Utah County, UT",Utah County,county,Utah,UT,UT,49,49000,70461,75296,79505,81804,86597,95085
"Estimate of Median Household Income for Utah County, UT",Utah County,county,Utah,UT,UT,49,49049,70461,75296,79505,81804,86597,95085
"Estimate of Median Household Income for Denton County, TX",Denton County,county,Denton,TX,TX,48,48121,86462,88384,90910,90880,98027,102711
"Estimate of Median Household Income for El Paso County, TX",El Paso County,county,El Paso,TX,TX,48,48141,44120,43948,48629,48522,50983,53441
"Estimate of Median Household Income for Howard County, MD",Howard County,county,Howard,MD,MD,24,24027,111576,116719,121329,124042,131412,133068
"Estimate of Median Household Income for Shelby County, TN",Shelby County,county,Shelby,TN,TN,47,47157,49563,47924,52659,50870,54931,61452
"Estimate of Median Household Income for San Bernardino County, CA",San Bernardino County,county,San Bernardino,CA,CA,6,6071,60270,63310,67398,65984,74218,78779
"Estimate of Median Household Income for DeKalb County, GA",DeKalb County,county,DeKalb,GA,GA,13,13089,61496,63477,63606,69545,70756,76736
"Estimate of Median Household Income for Riverside County, CA",Riverside County,county,Riverside,CA,CA,6,6065,63776,66793,72905,76409,78690,86350
"Estimate of Median Household Income for Orange County, FL",Orange County,county,Orange,FL,FL,12,12095,54021,58037,63133,69074,64579,72129
"Estimate of Median Household Income for Collier County, FL",Collier County,county,Collier,FL,FL,12,12021,66709,70649,76415,81895,75799,81821
"Estimate of Median Household Income for Pasco County, FL",Pasco County,county,Pasco,FL,FL,12,12101,51247,53788,55745,52332,59555,65933
"Estimate of Median Household Income for St. Johns County, FL",St. Johns County,county,St. Johns,FL,FL,12,12109,77022,81925,90839,94343,94662,103757
"Estimate of Median Household Income for Middlesex County, MA",Middlesex County,county,Middlesex,MA,MA,25,25017,97851,100374,106543,111158,112345,118494
"Estimate of Median Household Income for Waukesha County, WI",Waukesha County,county,Waukesha,WI,WI,55,55133,82627,87333,91070,92359,94506,99525
"Estimate of Median Household Income for Fulton County, GA",Fulton County,county,Fulton,GA,GA,13,13121,64901,70808,79235,71504,82820,89798
"Estimate of Median Household Income for Bergen County, NJ",Bergen County,county,Bergen,NJ,NJ,34,34003,93805,100181,107971,107114,104777,113885
"Estimate of Median Household Income for Merced County, CA",Merced County,county,Merced,CA,CA,6,6047,48036,56169,59733,58998,54703,65253
"Estimate of Median Household Income for Westchester County, NY",Westchester County,county,Westchester,NY,NY,36,36119,90483,94521,101741,103340,109131,108037
"Estimate of Median Household Income for Broward County, FL",Broward County,county,Broward,FL,FL,12,12011,56702,57200,61429,63901,65536,70834
"Estimate of Median Household Income for Oakland County, MI",Oakland County,county,Oakland,MI,MI,26,26125,77558,80319,81257,82849,86597,90801
"Estimate of Median Household Income for Fairfield County, CT",Fairfield County,county,Fairfield,CT,CT,9,9001,91170,91183,96966,98828,100703,100703
"Estimate of Median Household Income for Multnomah County, OR",Multnomah County,county,Multnomah,OR,OR,41,41051,63587,70756,72469,74707,77851,79432
"Estimate of Median Household Income for Erie County, NY",Erie County,county,Erie,NY,NY,36,36029,55581,56375,60620,59584,63014,69888
"Estimate of Median Household Income for New Hanover County, NC",New Hanover County,county,New Hanover,NC,NC,37,37129,53692,53419,57252,65615,66212,70995
"Estimate of Median Household Income for Jefferson County, AL",Jefferson County,county,Jefferson,AL,AL,1,1073,50731,55013,54127,57802,55210,61996
"Estimate of Median Household Income for Wayne County, MI",Wayne County,county,Wayne,MI,MI,26,26163,45182,46440,50753,51777,52644,55928
"Estimate of Median Household Income for Ada County, ID",Ada County,county,Ada,ID,ID,16,16001,61469,66827,72295,73324,79345,87748
"Estimate of Median Household Income for Hamilton County, TN",Hamilton County,county,Hamilton,TN,TN,47,47065,52096,57196,57802,61478,65689,75127
"Estimate of Median Household Income for Marion County, FL",Marion County,county,Marion,FL,FL,12,12083,43772,44517,49079,48553,54555,54517
"Estimate of Median Household Income for Baltimore County, MD",Baltimore County,county,Baltimore,MD,MD,24,24005,73309,75836,76972,79974,80159,86198
"Estimate of Median Household Income for Jefferson County, KY",Jefferson County,county,Jefferson,KY,KY,21,21111,54977,55860,59025,62067,60636,64719
"Estimate of Median Household Income for Cobb County, GA",Cobb County,county,Cobb,GA,GA,13,13067,75485,78603,79622,81517,87532,96798
"Estimate of Median Household Income for San Mateo County, CA",San Mateo County,county,San Mateo,CA,CA,6,6081,115908,122930,135234,132369,131151,143795
"Estimate of Median Household Income for Pinellas County, FL",Pinellas County,county,Pinellas,FL,FL,12,12103,51488,52226,56708,61532,61851,66427
"Estimate of Median Household Income for Prince William County, VA",Prince William County,county,Prince William,VA,VA,51,51153,100431,106200,106208,111117,116354,119051
"Estimate of Median Household Income for Douglas County, NE",Douglas County,county,Douglas,NE,NE,31,31055,61706,64580,67264,65788,69475,74424
"Estimate of Median Household Income for Guilford County, NC",Guilford County,county,Guilford,NC,NC,37,37081,52284,52166,55820,55577,60915,63822
"Estimate of Median Household Income for Contra Costa County, CA",Contra Costa County,county,Contra Costa,CA,CA,6,6013,95062,101463,106555,106484,110595,119667
"Estimate of Median Household Income for Canadian County, OK",Canadian County,county,Canadian,OK,OK,40,40017,73878,70942,75111,75452,75806,81761
"Estimate of Median Household Income for Langlade County, WI",Langlade County,county,Langlade,WI,WI,55,55067,46910,51334,49597,55259,57229,57745
"Estimate of Median Household Income for Collin County, TX",Collin County,county,Collin,TX,TX,48,48085,95394,96936,96847,101560,102119,113943
"Estimate of Median Household Income for Williamson County, TX",Williamson County,county,Williamson,TX,TX,48,48491,82131,87817,92661,91507,96653,101891
"Estimate of Median Household Income for Marin County, CA",Marin County,county,Marin,CA,CA,6,6041,112735,122933,112069,127601,118472,135960
"Estimate of Median Household Income for Essex County, MA",Essex County,county,Essex,MA,MA,25,25009,75309,76373,83253,88269,87145,92118
"Estimate of Median Household Income for St. Charles County, MO",St. Charles County,county,St. Charles,MO,MO,29,29183,81827,82048,89236,90567,92029,98925
