index,RegionName,RegionType,CountyName,StateName,State,StateCodeFIPS,county_fips,1/1/17,1/1/18,1/1/19,1/1/20,1/1/21,1/1/22
"Percent of Population Below the Poverty Level (5-year estimate) in Cook County, IL",Cook County,county,Cook,IL,IL,17,17031,15.9,15.1,14.4,13.7,13.5,13.4
"Percent of Population Below the Poverty Level (5-year estimate) in Los Angeles County, CA",Los Angeles County,county,Los Angeles,CA,CA,6,6037,17.0,16.0,14.9,14.2,13.9,13.7
"Percent of Population Below the Poverty Level (5-year estimate) in New York County, NY",New York County,county,New York,NY,NY,36,36000,17.3,16.6,15.8,15.6,15.6,15.8
"Percent of Population Below the Poverty Level (5-year estimate) in New York County, NY",New York County,county,New York,NY,NY,36,36061,17.3,16.6,15.8,15.6,15.6,15.8
"Percent of Population Below the Poverty Level (5-year estimate) in Lubbock County, TX",Lubbock County,county,Lubbock,TX,TX,48,48303,18.8,18.9,18.9,18.5,17.7,17.2
"Percent of Population Below the Poverty Level (5-year estimate) in Chesterfield County, SC",Chesterfield County,county,Chesterfield,SC,SC,45,45025,23.8,22.5,20.7,21.2,20.8,20.3
"Percent of Population Below the Poverty Level (5-year estimate) in Wilson County, TX",Wilson County,county,Wilson,TX,TX,48,48493,10.2,10.5,9.6,10.0,9.8,10.3
"Percent of Population Below the Poverty Level (5-year estimate) in Morgan County, KY",Morgan County,county,Morgan,KY,KY,21,21175,25.6,24.7,22.7,21.6,22.3,20.4
"Percent of Population Below the Poverty Level (5-year estimate) in Iowa County, IA",Iowa County,county,Iowa,IA,IA,19,19000,9.8,8.2,8.7,8.4,9.3,9.1
"Percent of Population Below the Poverty Level (5-year estimate) in Iowa County, IA",Iowa County,county,Iowa,IA,IA,19,19095,9.8,8.2,8.7,8.4,9.3,9.1
"Percent of Population Below the Poverty Level (5-year estimate) in Beaufort County, SC",Beaufort County,county,Beaufort,SC,SC,45,45013,11.9,11.1,10.2,9.3,10.1,10.4
"Percent of Population Below the Poverty Level (5-year estimate) in Aransas County, TX",Aransas County,county,Aransas,TX,TX,48,48007,17.8,20.3,21.3,22.8,22.5,17.9
"Percent of Population Below the Poverty Level (5-year estimate) in Pennington County, SD",Pennington County,county,Pennington,SD,SD,46,46103,14.0,13.4,13.8,14.0,12.6,12.3
"Percent of Population Below the Poverty Level (5-year estimate) in Kenosha County, WI",Kenosha County,county,Kenosha,WI,WI,55,55059,14.5,13.6,12.3,12.0,11.3,11.1
"Percent of Population Below the Poverty Level (5-year estimate) in King County, WA",King County,county,King,WA,WA,53,53033,10.2,9.5,8.9,8.4,8.4,8.4
"Percent of Population Below the Poverty Level (5-year estimate) in Hillsborough County, FL",Hillsborough County,county,Hillsborough,FL,FL,12,12057,15.7,15.3,14.6,14.0,14.0,13.7
"Percent of Population Below the Poverty Level (5-year estimate) in Miami-Dade County, FL",Miami-Dade County,county,Dade,FL,FL,12,12025,19.0,18.0,17.1,16.0,15.7,15.3
"Percent of Population Below the Poverty Level (5-year estimate) in Floyd County, KY",Floyd County,county,Floyd,KY,KY,21,21071,30.7,31.7,30.7,28.9,29.0,29.3
"Percent of Population Below the Poverty Level (5-year estimate) in Hidalgo County, TX",Hidalgo County,county,Hidalgo,TX,TX,48,48215,31.8,31.2,29.7,28.4,28.1,27.7
"Percent of Population Below the Poverty Level (5-year estimate) in Onondaga County, NY",Onondaga County,county,Onondaga,NY,NY,36,36067,14.9,14.6,14.1,13.9,13.8,13.9
"Percent of Population Below the Poverty Level (5-year estimate) in Russell County, AL",Russell County,county,Russell,AL,AL,1,1113,20.9,20.1,20.7,21.8,21.9,22.0
"Percent of Population Below the Poverty Level (5-year estimate) in Clay County, AL",Clay County,county,Clay,AL,AL,1,1027,19.1,18.4,17.9,15.5,16.9,17.6
"Percent of Population Below the Poverty Level (5-year estimate) in Dade County, GA",Dade County,county,Dade,GA,GA,13,13083,17.5,15.1,13.7,11.1,9.8,6.5
"Percent of Population Below the Poverty Level (5-year estimate) in Hall County, GA",Hall County,county,Hall,GA,GA,13,13139,16.1,14.6,13.9,14.0,14.0,13.5
"Percent of Population Below the Poverty Level (5-year estimate) in Tift County, GA",Tift County,county,Tift,GA,GA,13,13277,27.8,24.7,23.3,22.5,22.1,21.0
"Percent of Population Below the Poverty Level (5-year estimate) in Lake County, MN",Lake County,county,Lake,MN,MN,27,27075,9.3,8.5,8.7,8.0,7.7,8.6
"Percent of Population Below the Poverty Level (5-year estimate) in Kerr County, TX",Kerr County,county,Kerr,TX,TX,48,48265,13.8,13.3,11.7,12.5,11.6,12.5
