index,RegionName,RegionType,CountyName,StateName,StateCodeFIPS,county_fips,State,1/1/17,1/1/18,1/1/19,1/1/20,1/1/21,1/1/22,1/1/23
"Resident Population in San Francisco County/city, CA",San Francisco County,county,San Francisco,CA,6,6075,CA,877.471,879.676,878.826,870.518,811.935,807.774,808.988
"Resident Population in Los Angeles County, CA",Los Angeles County,county,Los Angeles,CA,6,6037,CA,10092.365,10061.533,10011.602,9992.813,9809.462,9719.765,9663.345
"Resident Population in Miami-Dade County, FL",Dade County,county,Dade,FL,12,12025,FL,2709.126,2709.711,2711.612,2695.685,2669.748,2673.056,2686.867
"Resident Population in Louisville-Jefferson County, KY-IN (MSA)",Louisville-Jefferson County,county,Louisville-Jefferson,KY,21,21111,KY,1260.344,1262.81,1266.2,1362.955,1361.424,1361.3,1365.557
"Resident Population in Maricopa County, AZ",Maricopa County,county,Maricopa,AZ,4,4013,AZ,4329.227,4405.306,4492.261,4445.059,4499.438,4555.833,4585.871
"Resident Population in Orange County, CA",Orange County,county,Orange,CA,6,6059,CA,3174.159,3175.579,3170.851,3185.734,3160.611,3150.372,3135.755
"Resident Population in King County, WA",King County,county,King,WA,53,53033,WA,2205.001,2228.488,2249.653,2274.282,2252.98,2265.311,2271.38
"Resident Population in San Diego County, CA",San Diego County,county,San Diego,CA,6,6073,CA,3319.019,3332.483,3330.459,3295.298,3274.432,3277.176,3269.973
"Resident Population in Clark County, NV",Clark County,county,Clark,NV,32,32003,NV,2183.273,2228.97,2275.884,2274.887,2295.31,2322.535,2336.573
"Resident Population in Philadelphia County/city, PA",Philadelphia County,county,Philadelphia,PA,42,42101,PA,1581.699,1586.422,1584.439,1600.684,1589.623,1566.836,1550.542
"Resident Population in Sarasota County, FL",Sarasota County,county,Sarasota,FL,12,12115,FL,420.073,426.89,435.006,436.237,448.636,462.552,469.013
"Resident Population in Cook County, IL",Cook County,county,Cook,IL,17,17031,IL,5199.582,5171.007,5145.326,5263.608,5180.919,5111.566,5087.072
"Resident Population in Davidson County, TN",Davidson County,county,Davidson,TN,47,47037,TN,687.808,691.298,692.999,716.059,700.86,707.351,712.334
"Resident Population in Travis County, TX",Travis County,county,Travis,TX,48,48453,TX,1227.373,1246.693,1273.567,1296.613,1308.868,1327.55,1334.961
"Resident Population in New York County, NY",New York County,county,New York,NY,36,36000,NY,1632.337,1632.393,1632.326,1677.232,1578.055,1594.543,1597.451
"Resident Population in New York County, NY",New York County,county,New York,NY,36,36061,NY,1632.337,1632.393,1632.326,1677.232,1578.055,1594.543,1597.451
"Resident Population in Allegheny County, PA",Allegheny County,county,Allegheny,PA,42,42003,PA,1220.423,1217.508,1215.716,1249.565,1245.22,1232.605,1224.825
"Resident Population in Augusta-Richmond County, GA-SC (MSA)",Augusta-Richmond County,county,Augusta-Richmond,GA,13,13245,GA,601.007,605.253,610.2,612.172,616.187,623.985,629.429
"Resident Population in Palm Beach County, FL",Palm Beach County,county,Palm Beach,FL,12,12099,FL,1470.583,1482.833,1497.8,1494.282,1503.435,1519.867,1533.801
