index,RegionName,CountyName,RegionType,StateName,State,StateCodeFIPS,county_fips,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23
"Unemployment Rate in Alachua County, FL",Alachua County,Alachua,county,FL,FL,12,12001,4.5,3.9,3.8,3.5,3.6,4.2,4.2,4.1,3.7,3.6,3.8,3.5,3.9,3.5,3.3,3.1,3.1,3.8,3.6,3.5,3.1,3.2,3,3.1,3.6,3,3,2.6,2.8,3.4,3.5,3.2,2.9,2.9,2.7,2.5,2.9,2.4,3.7,8.4,8.7,7.7,8.8,6.1,5.6,5,4.8,4.6,4.9,4.3,3.9,3.7,3.7,4.4,4.3,4,3.5,3.4,3.1,2.8,3.5,3.1,2.8,2.6,2.8,3.3,3.2,3,2.7,2.8,2.8,2.3,2.9,2.8,2.7,2.5,2.9,3.4,3.4,3.5,3.2,3.5,3.3,3.1
"Unemployment Rate in Alameda County, CA",Alameda County,Alameda,county,CA,CA,6,6001,4.3,4,3.9,3.6,3.4,3.9,4.1,4,3.5,3.4,3.2,3.1,3.4,3.3,3.1,2.8,2.6,3.3,3.2,3.2,2.9,3,2.9,3,3.5,3.1,3.2,2.7,2.6,3.1,3.3,3.2,2.7,2.8,2.8,2.7,3.1,2.9,4.4,14.8,14.1,12.8,12,10,9.5,8.3,8,7.7,7.6,7.3,7,6.8,6.3,7,6.5,6.2,5.2,4.9,4.4,4,4.4,3.9,3.5,3.1,2.8,3.3,3.3,3.4,3,3.2,3.3,3,3.7,3.7,3.7,3.3,3.5,4.1,4.2,4.6,4.4,4.6,4.5,4.5
"Unemployment Rate in Albany County, NY",Albany County,Albany,county,NY,NY,36,36001,4.5,4.6,4,3.9,3.9,4.4,4.5,4.5,4.2,4,4,3.9,4.5,4.6,4.1,3.6,3.3,3.8,3.8,3.7,3.3,3.2,3.1,3.3,3.9,3.9,3.6,3.1,3.1,3.4,3.8,3.7,3.3,3.3,3.3,3.4,3.8,3.8,4.4,13.6,10.9,9.3,8.8,6.9,6.3,5.1,4.9,5.3,5.8,6,5.6,4.8,4.4,4.9,4.7,4.4,3.7,3.4,3,2.7,3.5,3.6,3.3,2.8,2.8,3.2,3.4,3.4,2.9,2.7,2.8,2.8,3.5,3.4,3,2.6,2.9,3.2,3.3,3.6,3.4,3.5,3.4,3.7
"Unemployment Rate in Allegheny County, PA",Allegheny County,Allegheny,county,PA,PA,42,42003,5.5,5.5,5.1,4.4,4.7,5,5.3,5.2,4.4,4.2,4.2,4.2,4.9,4.8,4.4,3.9,3.8,4.5,4.6,4.5,3.7,3.6,3.5,3.7,4.5,4.5,4.2,3.6,3.8,4.2,4.6,4.7,3.7,3.8,3.7,3.8,4.5,4.4,5,15.1,13,11.3,11.7,9.7,8.7,7.6,7.4,7.8,7.4,7.1,6.4,6,5.9,6.2,6.2,6,4.7,4.5,3.9,3.4,4.5,4.3,3.9,3.6,3.8,4.3,4.4,4.8,3.4,3.5,3.4,3.2,3.9,4,3.4,2.8,3.2,3.4,3.5,4,2.9,3,2.7,2.7
"Unemployment Rate in Arlington County, VA",Arlington County,Arlington,county,VA,VA,51,51013,2.9,2.8,2.7,2.4,2.7,2.5,2.5,2.5,2.3,2.2,2.1,2,2.4,2.2,2.2,1.9,2.1,2.1,2,2,1.9,1.9,1.8,1.8,2.4,2,2,1.7,1.9,1.9,1.9,2,1.8,1.8,1.7,1.5,2,1.7,2.1,7.2,6.6,7.2,6.5,5.5,4.7,4.3,4.2,3.6,3.7,3.6,3.5,3.2,3.3,3.8,3.6,3.3,2.3,1.9,1.6,1.8,2.1,1.9,1.9,1.8,2,2.1,2.1,2.3,2,2,2,1.8,2.3,2.1,2.1,1.9,2.1,2.2,2.1,2.3,2.3,2.3,2.2,2
"Unemployment Rate in Austin County, TX",Austin County,Austin,county,TX,TX,48,48015,5.5,5.3,5,4.4,4.5,4.7,4.6,4.4,4,3.6,3.8,3.6,4.2,4.1,3.8,3.5,3.5,4.1,3.9,3.7,3.5,3.3,3.3,3.5,4.1,3.7,3.4,2.9,3,3.7,3.8,3.6,3.3,3.2,3.4,3.2,3.7,3.5,5.4,9.1,9.1,8.6,8.3,6.8,6.8,6.2,6.4,6.5,6.8,6.5,6.1,5.7,5.5,6.3,5.7,5.5,5.1,4.8,4.6,4.1,4.7,4.4,3.8,3.5,3.8,4.3,4.2,4.1,3.9,3.8,3.7,3.4,4.1,4.3,3.7,3.2,3.6,4.1,3.9,3.9,3.6,3.5,3.2,3.1
"Unemployment Rate in Bartow County, GA",Bartow County,Bartow,county,GA,GA,13,13015,5.7,5.2,4.8,4.5,4.7,4.9,5,4.8,4.1,4.1,4,4.1,4.4,4.2,3.9,3.6,3.6,4.2,3.9,3.9,3.4,3.7,3.3,3.8,4.2,3.6,3.5,3,3.4,3.6,3.5,3.7,3.1,3.2,3,3.6,3.8,3.5,4,13.9,10,7.8,7.2,5.9,5.3,4.5,4.3,4.5,4.8,4.3,4,3.4,3.7,4,3.4,3.6,3,3,2.7,2.7,3.5,3,2.9,2.4,2.8,3.2,2.8,3.3,2.7,3.1,2.9,2.9,3.8,3.3,3.1,2.6,3.1,3.2,3,3.5,3,3,2.7,2.8
"Unemployment Rate in Bergen County, NJ",Bergen County,Bergen,county,NJ,NJ,34,34003,4.1,4.1,3.7,3.5,3.8,3.8,4.3,4.1,3.9,3.6,3.5,3.2,3.8,3.9,3.6,3.2,3.2,3.7,3.9,3.5,3,2.8,2.5,2.7,3.3,3.2,2.8,2.2,2.5,2.7,3.3,3.1,2.7,2.7,2.7,2.8,3.4,3.5,4,14.1,15.5,14.6,15.1,13.2,7.4,6.6,6.7,6.6,7.3,7.3,7,6.6,6.5,7.2,7.1,6.6,5.8,5.2,4.9,4.6,5.1,4.7,4.1,3.5,3.4,3.5,3.5,3.1,2.7,2.8,2.9,2.9,3.5,3.8,3.6,3.1,3.7,4.2,4.4,4.5,4.1,4,3.8,3.8
"Unemployment Rate in Bexar County, TX",Bexar County,Bexar,county,TX,TX,48,48029,4,4,3.7,3.4,3.5,3.8,3.8,3.7,3.3,3.1,3.3,3.2,3.6,3.6,3.4,3.1,3.1,3.7,3.6,3.5,3.3,3.2,3.2,3.2,3.7,3.4,3.1,2.7,2.8,3.4,3.5,3.3,3.1,3,3,2.8,3.2,3.1,4.8,13.3,12.5,10.4,9.9,7.9,7.6,6.5,6.5,6.3,6.7,6.5,6.2,5.5,5.3,6,5.5,5.2,4.8,4.5,4.2,3.8,4.3,4.1,3.6,3.3,3.5,4,3.9,3.8,3.6,3.7,3.7,3.5,4,4.2,3.8,3.4,3.7,3.9,4,4,3.8,3.5,3.3,3.2
"Unemployment Rate in Brevard County, FL",Brevard County,Brevard,county,FL,FL,12,12009,5.1,4.7,4.4,4.2,4.3,4.5,4.6,4.6,4.3,4.1,4.1,3.8,4.2,3.8,3.7,3.5,3.4,3.9,3.8,3.7,3.4,3.4,3.3,3.3,3.8,3.4,3.3,3,3.1,3.5,3.5,3.5,3.2,3.1,3,2.8,3.2,2.8,4.3,12.1,12.1,9.5,10.2,7.1,6.8,5.8,5.5,5.1,5.3,4.9,4.4,4.2,4.1,4.6,4.3,4.2,3.8,3.6,3.5,3,3.6,3.2,2.9,2.7,2.8,3.1,3,3,2.8,2.8,2.8,2.5,2.9,2.8,2.7,2.4,2.8,3.1,3.1,3.3,3.2,3.3,3.2,3
