state,county,fips_code,index,year,month,total_population,pct_male,pct_female,pct_age18over,pct_age65over,pct_race_white,pct_race_black,pct_race_native_amer,pct_race_asian,pct_race_pacific,pct_race_others,pct_hispanic,median_household_income,remote_imputed,TOP_METRO_1,TOP_METRO_0,neighbour_top_metro_0,neighbour_top_metro_1,neighbour_level_0.0,neighbour_level_1.0,neighbour_level_2.0,neighbour_level_3.0,neighbour_level_4.0,neighbour_level_5.0,neighbour_level_9.0,housing_24_predicted,housing_Dec23,housing_pct_increase_24
AL,Pickens County,1107,53962,2024,12,-0.5744531489,0.06452548878,-0.06452548878,1.008476138,0.1751497668,0.9599203382,-0.6461602303,-0.1964607742,-0.5206837922,0.02719447101,-0.7201984416,-0.7164146049,-0.595381047,-1.334504034,0,1,1,0,0,0,0,0,0,0,1,268477.6264,129147.4511,1.078845724
AR,Yell County,5149,70955,2024,12,-0.6913493733,0.6492546889,-0.6492546889,-0.7982314608,-0.02055717094,0.3580010464,-0.9037660812,-0.2907480987,-0.6596193841,-0.3051228373,0.6358860455,0.548231883,-0.712655984,-1.349715714,0,1,1,0,0,0,0,0,0,0,1,293442.1611,143650.9976,1.042743636
AZ,Santa Cruz County,4023,64245,2024,12,-0.4464929318,0.3303114888,-0.3303114888,1.139873055,0.5421002751,-0.01198604119,-0.9277294162,0.1335448617,0.2434619634,0.1379669071,2.003271237,1.691277747,-0.4831428424,0.4819748527,0,1,1,0,0,0,0,0,0,0,1,565651.6664,264845.8519,1.135776952
CA,Merced County,6047,45358,2024,12,-0.4156601352,0.4366258889,-0.4366258889,-2.309295998,-1.341579001,-1.784610745,-0.8198944088,0.3221195108,0.6776356882,1.024146396,5.122265557,4.017903016,-0.510829791,-1.76823296,0,1,1,0,0,0,0,0,0,0,1,619926.0886,399556.0504,0.5515372326
CO,Crowley County,8025,14410,2024,12,-0.7061297875,9.739135891,-9.739135891,2.256746843,-0.7789215547,0.4187451951,-0.5503068904,0.7699843024,0.1045263715,-0.4158952734,0.5002775968,1.496716749,-0.7288318374,0.9786816009,0,1,1,0,0,0,0,0,0,0,1,416575.1773,149703.7714,1.782663212
CT,Middlesex County,9007,45477,2024,12,0.1646974949,0.1176826888,-0.1176826888,0.05584849519,-0.2162641087,-1.409101462,-0.2867102058,-0.1257452808,3.734218711,-0.3051228373,0.9749071673,0.7833264224,0.04976305696,-0.1883318975,0,1,1,0,0,0,0,0,0,0,1,735400.8113,402440.502,0.8273528825
DC,District of Columbia,11001,22695,2024,12,-0.02274881332,-1.104932911,1.104932911,0.9099284512,-1.096945328,-1.414623657,1.684274095,-0.337891761,0.1739941674,-0.0835779651,-0.06475760617,-0.1894785683,0.1090100103,2.522715785,1,0,0.9569892473,0.04301075269,0.01075268817,0.04301075269,0.08602150538,0.2043010753,0.311827957,0.3440860215,0,445747.163,614221.485,-0.2742892036
DE,Kent County,10001,36579,2024,12,-0.5193372283,-0.8391469114,0.8391469114,-0.4040407119,0.2974666029,-0.4924170355,0.8755115402,-0.2671762676,-0.3470143023,0.02719447101,-0.5054850645,-0.4894267737,-0.5456898106,-0.3183313947,0,1,1,0,0,0,0,0,0,0,1,149149.0107,343444.9522,-0.5657265896
FL,Osceola County,12097,51908,2024,12,-0.2675879975,0.01136828877,-0.01136828877,-0.7653822317,-0.9990918596,-0.9949368113,-0.1009943598,-0.4321790855,-0.1733448124,0.02719447101,3.788782478,3.385579772,-0.3432679561,-0.1763901454,0,1,1,0,0,0,0,0,0,0,1,469279.2909,380507.6935,0.2332977726
GA,Chattahoochee County,13053,10642,2024,12,-0.7024549867,8.144419891,-8.144419891,-0.2069453374,-3.592208785,-0.221829464,0.252464831,0.3692631731,-0.1038770164,1.356463704,-0.1777646468,0.264497094,-0.7270322863,0.007805940557,0,1,1,0,0,0,0,0,0,0,1,307176.5123,109959.2597,1.793548385
